annotation_id,case_id,fixture_id,system_label,baseline_id
C001-A,C001,synthetic_career_debt_03_06_r02,System A,raw_prompt_stuffing
C001-B,C001,synthetic_career_debt_03_06_r02,System B,validator_only
C001-C,C001,synthetic_career_debt_03_06_r02,System C,cbea_lcv_runtime
C002-A,C002,synthetic_career_falsehard_03_03_r01,System A,cbea_lcv_runtime
C002-B,C002,synthetic_career_falsehard_03_03_r01,System B,validator_only
C002-C,C002,synthetic_career_falsehard_03_03_r01,System C,raw_prompt_stuffing
C003-A,C003,synthetic_career_exception_03_04_r01,System A,cbea_lcv_runtime
C003-B,C003,synthetic_career_exception_03_04_r01,System B,raw_prompt_stuffing
C003-C,C003,synthetic_career_exception_03_04_r01,System C,validator_only
C004-A,C004,synthetic_career_infeasible_03_02_r01,System A,validator_only
C004-B,C004,synthetic_career_infeasible_03_02_r01,System B,raw_prompt_stuffing
C004-C,C004,synthetic_career_infeasible_03_02_r01,System C,cbea_lcv_runtime
C005-A,C005,synthetic_career_surface_03_05_r03,System A,raw_prompt_stuffing
C005-B,C005,synthetic_career_surface_03_05_r03,System B,validator_only
C005-C,C005,synthetic_career_surface_03_05_r03,System C,cbea_lcv_runtime
C006-A,C006,synthetic_career_tail_03_01_r02,System A,cbea_lcv_runtime
C006-B,C006,synthetic_career_tail_03_01_r02,System B,validator_only
C006-C,C006,synthetic_career_tail_03_01_r02,System C,raw_prompt_stuffing
C007-A,C007,synthetic_comprehensive_debt_05_06_r03,System A,cbea_lcv_runtime
C007-B,C007,synthetic_comprehensive_debt_05_06_r03,System B,raw_prompt_stuffing
C007-C,C007,synthetic_comprehensive_debt_05_06_r03,System C,validator_only
C008-A,C008,synthetic_comprehensive_falsehard_05_03_r03,System A,validator_only
C008-B,C008,synthetic_comprehensive_falsehard_05_03_r03,System B,raw_prompt_stuffing
C008-C,C008,synthetic_comprehensive_falsehard_05_03_r03,System C,cbea_lcv_runtime
C009-A,C009,synthetic_comprehensive_exception_05_04_r03,System A,raw_prompt_stuffing
C009-B,C009,synthetic_comprehensive_exception_05_04_r03,System B,validator_only
C009-C,C009,synthetic_comprehensive_exception_05_04_r03,System C,cbea_lcv_runtime
C010-A,C010,synthetic_comprehensive_infeasible_05_02_r03,System A,cbea_lcv_runtime
C010-B,C010,synthetic_comprehensive_infeasible_05_02_r03,System B,raw_prompt_stuffing
C010-C,C010,synthetic_comprehensive_infeasible_05_02_r03,System C,validator_only
C011-A,C011,synthetic_comprehensive_surface_05_05_r01,System A,cbea_lcv_runtime
C011-B,C011,synthetic_comprehensive_surface_05_05_r01,System B,validator_only
C011-C,C011,synthetic_comprehensive_surface_05_05_r01,System C,raw_prompt_stuffing
C012-A,C012,synthetic_comprehensive_tail_05_01_r02,System A,raw_prompt_stuffing
C012-B,C012,synthetic_comprehensive_tail_05_01_r02,System B,validator_only
C012-C,C012,synthetic_comprehensive_tail_05_01_r02,System C,cbea_lcv_runtime
C013-A,C013,synthetic_investment_debt_01_06_r03,System A,validator_only
C013-B,C013,synthetic_investment_debt_01_06_r03,System B,raw_prompt_stuffing
C013-C,C013,synthetic_investment_debt_01_06_r03,System C,cbea_lcv_runtime
C014-A,C014,synthetic_investment_falsehard_01_03_r02,System A,cbea_lcv_runtime
C014-B,C014,synthetic_investment_falsehard_01_03_r02,System B,raw_prompt_stuffing
C014-C,C014,synthetic_investment_falsehard_01_03_r02,System C,validator_only
C015-A,C015,synthetic_investment_exception_01_04_r03,System A,cbea_lcv_runtime
C015-B,C015,synthetic_investment_exception_01_04_r03,System B,validator_only
C015-C,C015,synthetic_investment_exception_01_04_r03,System C,raw_prompt_stuffing
C016-A,C016,synthetic_investment_infeasible_01_02_r01,System A,raw_prompt_stuffing
C016-B,C016,synthetic_investment_infeasible_01_02_r01,System B,validator_only
C016-C,C016,synthetic_investment_infeasible_01_02_r01,System C,cbea_lcv_runtime
C017-A,C017,synthetic_investment_surface_01_05_r02,System A,validator_only
C017-B,C017,synthetic_investment_surface_01_05_r02,System B,raw_prompt_stuffing
C017-C,C017,synthetic_investment_surface_01_05_r02,System C,cbea_lcv_runtime
C018-A,C018,synthetic_investment_tail_01_01_r03,System A,cbea_lcv_runtime
C018-B,C018,synthetic_investment_tail_01_01_r03,System B,raw_prompt_stuffing
C018-C,C018,synthetic_investment_tail_01_01_r03,System C,validator_only
C019-A,C019,synthetic_love_choice_debt_02_06_r02,System A,cbea_lcv_runtime
C019-B,C019,synthetic_love_choice_debt_02_06_r02,System B,validator_only
C019-C,C019,synthetic_love_choice_debt_02_06_r02,System C,raw_prompt_stuffing
C020-A,C020,synthetic_love_choice_falsehard_02_03_r02,System A,cbea_lcv_runtime
C020-B,C020,synthetic_love_choice_falsehard_02_03_r02,System B,validator_only
C020-C,C020,synthetic_love_choice_falsehard_02_03_r02,System C,raw_prompt_stuffing
C021-A,C021,synthetic_love_choice_exception_02_04_r01,System A,cbea_lcv_runtime
C021-B,C021,synthetic_love_choice_exception_02_04_r01,System B,raw_prompt_stuffing
C021-C,C021,synthetic_love_choice_exception_02_04_r01,System C,validator_only
C022-A,C022,synthetic_love_choice_infeasible_02_02_r01,System A,validator_only
C022-B,C022,synthetic_love_choice_infeasible_02_02_r01,System B,raw_prompt_stuffing
C022-C,C022,synthetic_love_choice_infeasible_02_02_r01,System C,cbea_lcv_runtime
C023-A,C023,synthetic_love_choice_surface_02_05_r01,System A,raw_prompt_stuffing
C023-B,C023,synthetic_love_choice_surface_02_05_r01,System B,validator_only
C023-C,C023,synthetic_love_choice_surface_02_05_r01,System C,cbea_lcv_runtime
C024-A,C024,synthetic_love_choice_tail_02_01_r02,System A,cbea_lcv_runtime
C024-B,C024,synthetic_love_choice_tail_02_01_r02,System B,validator_only
C024-C,C024,synthetic_love_choice_tail_02_01_r02,System C,raw_prompt_stuffing
C025-A,C025,synthetic_relocation_debt_04_06_r01,System A,cbea_lcv_runtime
C025-B,C025,synthetic_relocation_debt_04_06_r01,System B,raw_prompt_stuffing
C025-C,C025,synthetic_relocation_debt_04_06_r01,System C,validator_only
C026-A,C026,synthetic_relocation_falsehard_04_03_r02,System A,validator_only
C026-B,C026,synthetic_relocation_falsehard_04_03_r02,System B,raw_prompt_stuffing
C026-C,C026,synthetic_relocation_falsehard_04_03_r02,System C,cbea_lcv_runtime
C027-A,C027,synthetic_relocation_exception_04_04_r01,System A,raw_prompt_stuffing
C027-B,C027,synthetic_relocation_exception_04_04_r01,System B,validator_only
C027-C,C027,synthetic_relocation_exception_04_04_r01,System C,cbea_lcv_runtime
C028-A,C028,synthetic_relocation_infeasible_04_02_r01,System A,cbea_lcv_runtime
C028-B,C028,synthetic_relocation_infeasible_04_02_r01,System B,validator_only
C028-C,C028,synthetic_relocation_infeasible_04_02_r01,System C,raw_prompt_stuffing
C029-A,C029,synthetic_relocation_surface_04_05_r01,System A,cbea_lcv_runtime
C029-B,C029,synthetic_relocation_surface_04_05_r01,System B,raw_prompt_stuffing
C029-C,C029,synthetic_relocation_surface_04_05_r01,System C,validator_only
C030-A,C030,synthetic_relocation_tail_04_01_r01,System A,raw_prompt_stuffing
C030-B,C030,synthetic_relocation_tail_04_01_r01,System B,validator_only
C030-C,C030,synthetic_relocation_tail_04_01_r01,System C,cbea_lcv_runtime
